Orthogroup	homeo_pele	homeo_cgig
OG0000031	Pele_DN161508_c2_g1_i2.p1^	A0A8W8HLC1_CRAGI
OG0000032	Pele_DN139229_c3_g1_i1.p1^	K1PV30_CRAGI, A0A8W8I6I3_CRAGI
OG0000034	Pele_DN156788_c0_g1_i2.p1^	K1PJ20_CRAGI, A0A8W8J227_CRAGI, A0A8W8IYA2_CRAGI
OG0000036	Pele_DN122504_c0_g1_i1.p1^	K1REH4_CRAGI, A0A8W8KDY3_CRAGI, A0A8W8KK48_CRAGI
OG0000037	Pele_DN161761_c0_g3_i2.p1^	A0A8W8KL69_CRAGI, A0A8W8KM51_CRAGI, K1PV68_CRAGI
OG0000038	Pele_DN130740_c0_g1_i8.p1^	A0A8W8KQE1_CRAGI, A0A8W8KN59_CRAGI, A0A8W8KQD6_CRAGI, A0A8W8KN12_CRAGI, A0A8W8KN17_CRAGI, K1QAT6_CRAGI
OG0000042	Pele_DN144074_c0_g1_i7.p1^	A0A8W8IG58_CRAGI, K1RAP6_CRAGI
OG0000045	Pele_DN142207_c2_g1_i18.p1^	K1QXA8_CRAGI, A0A8W8KX35_CRAGI
OG0000047	Pele_DN141396_c6_g3_i8.p1^	A0A8W8MYN7_CRAGI, K1QNR4_CRAGI
OG0000048	Pele_DN155681_c5_g2_i1.p1^	K1R0H9_CRAGI, A0A8W8HU29_CRAGI, A0A8W8HTU2_CRAGI
OG0000049	Pele_DN160834_c0_g1_i5.p1^	K1R770_CRAGI, A0A8W8IXU5_CRAGI
OG0000050	Pele_DN153336_c2_g2_i3.p1^	A0A8W8L5S3_CRAGI, A0A8W8L1U9_CRAGI, K1PGW7_CRAGI
OG0000051	Pele_DN158505_c0_g1_i1.p1^	A0A8W8N621_CRAGI, A0A8W8MXX7_CRAGI, K1QDG5_CRAGI
OG0000052	Pele_DN150624_c0_g4_i3.p1^	A0A8W8IPJ6_CRAGI, K1PPR5_CRAGI
OG0000053	Pele_DN154574_c0_g1_i7.p1^	K1R041_CRAGI, A0A8W8IW65_CRAGI
OG0000058	Pele_DN153039_c2_g3_i4.p1^	A0A8W8N9G9_CRAGI, K1Q1H4_CRAGI
OG0000065	Pele_DN152935_c0_g4_i2.p1^	A0A8W8IQU2_CRAGI, A0A8W8IPI1_CRAGI, K1R7X3_CRAGI
OG0000073	Pele_DN163481_c0_g2_i5.p1^	K1QS33_CRAGI
OG0000074	Pele_DN145271_c1_g2_i2.p1^	K1QUN5_CRAGI
OG0000075	Pele_DN136173_c0_g1_i1.p1^	K1QKW3_CRAGI, A0A8W8HZU1_CRAGI
OG0000079	Pele_DN133460_c1_g1_i12.p1^	K1RMM1_CRAGI
OG0000080	Pele_DN150856_c1_g1_i10.p1^	K1RSM0_CRAGI
OG0000093	Pele_DN150887_c0_g2_i2.p1^	K1Q583_CRAGI
OG0000098	Pele_DN151096_c1_g8_i2.p3^	A0A8W8IYY1_CRAGI, K1PRV1_CRAGI
