Orthogroup	homeo_pdum	homeo_ofus
OG0000032	Pdum_DN67112_c0_g1_i1.p1^	A0A8J1UPA1_OWEFU, A0A166GC00_OWEFU, A0A8J1UL28_OWEFU
OG0000033	Pdum_DN75755_c0_g1_i4.p1^	A0A8J1T993_OWEFU, A0A8S4NPX3_OWEFU
OG0000034	Pdum_DN75781_c0_g1_i2.p1^	A0A8J1T830_OWEFU, A0A8J1T7B9_OWEFU
OG0000036	Pdum_DN85739_c0_g1_i1.p1^	A0A8J1TLL2_OWEFU, A0A8J1XNQ9_OWEFU
OG0000037	Pdum_DN50323_c0_g1_i1.p1^, Pdum_DN91429_c7_g4_i1.p1^	A0A8S4PRS0_OWEFU, A0A8J1TZ22_OWEFU
OG0000042	Pdum_DN83362_c0_g1_i12.p1^	A0A8J1XEH4_OWEFU, A0A8J1T6R3_OWEFU
OG0000043	Pdum_DN73679_c0_g1_i2.p1^	A0A8J1Y7V5_OWEFU
OG0000046	Pdum_DN80119_c0_g1_i2.p1^	A0A8J1U8H8_OWEFU
OG0000047	Pdum_DN84301_c0_g1_i2.p1^	A0A8J1U9N6_OWEFU
OG0000048	Pdum_DN83667_c1_g1_i9.p1^	A0A165US97_OWEFU
OG0000049	Pdum_DN74981_c0_g1_i2.p1^	A0A8J1XHJ6_OWEFU, A0A8S4NSB6_OWEFU
OG0000052	Pdum_DN81108_c0_g1_i3.p1^	A0A8J1T5Z3_OWEFU
OG0000053	Pdum_DN72621_c0_g1_i2.p1^	A0A8J1XFX1_OWEFU
OG0000054	Pdum_DN78247_c0_g1_i1.p1^	A0A8J1TND9_OWEFU
OG0000057	Pdum_DN81728_c0_g1_i1.p1^	A0A8J1UAP0_OWEFU
OG0000058	Pdum_DN80655_c0_g3_i2.p1^	A0A8J1UWG1_OWEFU
OG0000059	Pdum_DN89862_c1_g2_i3.p1^	A0A8J1XPH2_OWEFU, A0A2I6EEG1_OWEFU, A0A8S4N1Q5_OWEFU
OG0000066	Pdum_DN75939_c0_g1_i5.p1^	A0A8J1TJ83_OWEFU
OG0000067	Pdum_DN81110_c0_g1_i4.p1^	A0A8J1Y1U3_OWEFU
OG0000069	Pdum_DN84796_c0_g1_i12.p1^	A0A8J1U9G2_OWEFU
OG0000071	Pdum_DN91293_c5_g1_i4.p1^	A0A8J1Y043_OWEFU
OG0000073	Pdum_DN66869_c0_g1_i1.p1^	A0A8J1XJI6_OWEFU
OG0000074	Pdum_DN87519_c0_g1_i4.p1^	A0A8J1Y3X5_OWEFU
OG0000080	Pdum_DN74284_c0_g1_i3.p1^	A0A8J1XVX0_OWEFU
